user,score,time_given,droplet_interval,initial_droplet_radius,radius_max,fall_speed
UserX,182,20,1,5,11,10
UserX,280,20,1,5,11,10
UserX,258,20,1,5,11,10
UserX,180,20,1,5,11,10
UserX,204,20,1,5,11,10
UserX,3565,100,1,5,11,10
UserX,55,10,1,5,11,10
UserX,29,10,1,5,11,10
UserX,70,10,1,5,11,10
UserX,153,10,1,5,11,10
UserX,38,10,1,5,11,10
UserX,52,10,1,5,11,10
UserX,3396,100,1,5,11,10
UserX,15277.92531693185,100,1,5,11,10
UserX,7791,100,1,5,11,10
UserX,8891,100,1,5,11,10
UserX,9603,100,1,5,11,10
UserX,0,100,1,5,11,10
UserX,240,10,1,5,11,10
